ID,Description,Cat,Type,Comment,Current,Voltage,Other,Package,Kicad Symbol,Kicad Footprint,Manufacturer 1,Manufacturer Part Number 1,Manufacturer 2,Manufacturer Part Number 2,LCSC Part Number
IC-000001,IC Charger BQ21040 3.5-28V 0.8A Li-Ion 4.2V,Integrated Circuits,Charger,BQ21040,0.8A,3.5-28V,Li-Ion 4.2V,SOT-23-6,Battery_Management:BQ21040DBV,Package_TO_SOT_SMD:SOT-23-6,Texas Instruments,BQ21040DBVR,-,-,C202311
IC-000002,IC MCU MSPM0L1304 1.62-3.6V 16KB Flash 2KB RAM ,Integrated Circuits,Microcontroller,MSPM0L1304,-,1.62-3.6V,16KB Flash 2KB RAM ,VSSOP-20,Local_Symbols:MSPM0L1304xDGS20,Local_Footprints:TI_DGS20,Texas Instruments,MSPM0L1304TDGS20R,-,-,C22362611
IC-000003,IC Reg LDO RT9078 1.2-5.5V 300mA 3.3V Low IQ,Integrated Circuits,Regulator LDO,RT9078,300mA,1.2-5.5V,3.3V Low IQ,TSOT-23-5,Regulator_Linear:TLV70033_SOT23-5,Package_TO_SOT_SMD:SOT-23-5,Richtek,RT9078-33GJ5,Texas Instruments,TLV70033DDCR,C110427
IC-000004,IC Misc XB8089D0 6V Li-Ion Protection,Integrated Circuits,Miscellaneous,XB8089D0,-,6V,Li-Ion Protection,SOP8-EPAD,Local_Symbols:XB8089D,Local_Footprints:SOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.4x3.3mm,XySemi,XB8089D0,hengjiaxing,C45354739,C2760005
IC-000005,IC Driver HL118 1.8-8.5V 1.8A Single Channel H-Bridge,Integrated Circuits,Motor Driver,HL118,1.8A,1.8-8.5V,Single Channel H-Bridge,SOIC-8,Local_Symbols:HL118,Local_Footprints:SOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.4x3.3mm,HL,HL118,-,-,C42372074
IC-000006,IC Reg SW XT1861 1.8-5V 300mA Fixed 5V Boost,Integrated Circuits,Regulator SW,XT1861,300mA,1.8-5V,Fixed 5V Boost,TSOT-23-5,Local_Symbols:XT1861,Package_TO_SOT_SMD:SOT-23-5,Natlinear,XT1861B502SR-G,-,-,C3008013
IC-000007,IC Driver BDR6116B 2-6.5V 1.2A Single Channel H-Bridge,Integrated Circuits,Motor Driver,BDR6116B,1.2A,2-6.5V,Single Channel H-Bridge,SOT-23-6,Local_Symbols:BDR6116B,Package_TO_SOT_SMD:SOT-23-6,Bardeen Micro,BDR6116B,Lingyang Micro,LY1501T,C52200573
IC-000008,IC MCU DSPIC33AK32MC105-I/PT 3-3.6V 32KB Flash 8KB RAM,Integrated Circuits,Microcontroller,DSPIC33AK32MC105-I/PT,-,3-3.6V,32KB Flash 8KB RAM,TQFP-48,Local_Symbols:DSPIC33AKxxx105,Package_QFP:TQFP-48_7x7mm_P0.5mm,Microchip,DSPIC33AK32MC105-I/PT,-,-,C5226458
IC-000009,IC Driver AT8833 2.7-15V 1A Dual H-Bridge,Integrated Circuits,Motor Driver,AT8833,1A,2.7-15V,Dual H-Bridge,HTSSOP-16,Local_Symbols:DRV8833,Package_SO:HTSSOP-1EP_4.4x5mm_P0.65mm_EP3x3mm,Zhongkewei,AT8833CT,Texas Instruments,DRV8833,C575404
IC-000010,IC MCU STM32C011F4P6 2-3.6V 16KB Flash 6KB RAM,Integrated Circuits,Microcontroller,STM32C011F4P6,-,2-3.6V,16KB Flash 6KB RAM,TSSOP-20,Local_Symbols:STM32C011F,Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,STMicroelectronics,STM32C011F4P6,-,-,C7373263
IC-000011,IC Charger TP4054 4.2-6.5V 500mA Li-Ion 4.2V,Integrated Circuits,Charger,TP4054,500mA,4.2-6.5V,Li-Ion 4.2V,SOT-23-5,Local_Symbols:TP4054,Package_TO_SOT_SMD:SOT-23-5,UMW,TP4054,-,-,C668215
IC-000012,IC Misc RY2200A 6V Li-Ion Protection,Integrated Circuits,Miscellaneous,RY2200A,-,6V,Li-Ion Protection,SOT-23-3,Local_Symbols:RY2200,Package_TO_SOT_SMD:SOT-23-3,Rychip,RY2200At3,-,-,C48580216
IC-000013,IC Driver HTD9801TSH 2-5.5V 800mA Dual H-Bridge,Integrated Circuits,Motor Driver,HTD9801TSH,800mA,2-5.5V,Dual H-Bridge,TSSOP-16,Local_Symbols:HTD9801,Package_SO:HTSSOP-1EP_4.4x5mm_P0.65mm_EP3x3mm,Heroic Technology,HTD9801TSH,-,-,C22391191
